,title,subtiltle,link
50,"REFFIN' HELL Moment ref's surrounded by fuming players and MANHANDLED with shirt grabbed
VANCOUVER WHITECAPS players were enraged during the closing stages of their MLS Cup play-off match",Moment ref's surrounded by fuming players and MANHANDLED with shirt grabbed,https://www.thesun.co.uk/sport/24650090/mls-cup-referee-vancouver-whitecaps-lafc/
51,GUNNED DOWN Neville's perfect response to Arsenal fan who wanted him BANNED from Emirates,Neville's perfect response to Arsenal fan who wanted him BANNED from Emirates,https://www.thesun.co.uk/sport/24644157/gary-neville-arsenal-fan-emirates-ban-newcastle-goal/
52,COLL CALL Man Utd almost solved defensive woes four years ago with thriving Prem star,Man Utd almost solved defensive woes four years ago with thriving Prem star,https://www.thesun.co.uk/sport/24643253/man-utd-defensive-woes-nathan-collins-transfer/
53,POCH'S BLUES Chelsea suffer huge blow as key member of Pochettino's backroom staff leaves,Chelsea suffer huge blow as key member of Pochettino's backroom staff leaves,https://www.thesun.co.uk/sport/24650807/chelsea-pochettino-andy-myers-millwall-joe-edwards/
54,BLUE IT Ex-Chelsea star who played just 18 Prem minutes inspiring unlikely title charge,Ex-Chelsea star who played just 18 Prem minutes inspiring unlikely title charge,https://www.thesun.co.uk/sport/24648890/forgotten-chelsea-star-jeremie-boga-title-charge-mbappe/
55,"BRU ARE YA? Baffling moment fan in Fulham scarf appears to CELEBRATE United winner
SEVERAL supporters in the home end appeared to cheer Bruno Fernandes' goal. Other Fulham fans criticised the club for pricing out real supporters.",Baffling moment fan in Fulham scarf appears to CELEBRATE United winner,https://www.thesun.co.uk/sport/football/24643083/fulham-bruno-fernandes-man-utd/
56,IN FOR THE KYL Real Madrid hopeful star ‘secret weapon’ could land Mbappe and Davies deals,Real Madrid hopeful star ‘secret weapon’ could land Mbappe and Davies deals,https://www.thesun.co.uk/sport/24643191/real-madrid-kylian-mbappe-alphonso-davies-vinivius-junior/
57,TARGET ON AK Ex-Arsenal star opens up on ‘catastrophic’ time after move to Euro giants,Ex-Arsenal star opens up on ‘catastrophic’ time after move to Euro giants,https://www.thesun.co.uk/sport/24648644/chuba-apom-ajax-arsenal/
58,RED IT Man Utd fans want Mason Greenwood to 'come home' after Getafe success,Man Utd fans want Mason Greenwood to 'come home' after Getafe success,https://www.thesun.co.uk/sport/24623438/man-utd-fans-mason-greenwood-home-getafe/
59,GUNNER LEAVE? Arsenal star lined up for huge Euro transfer & he 'wouldn't be sad' to leave,Arsenal star lined up for huge Euro transfer & he 'wouldn't be sad' to leave,https://www.thesun.co.uk/sport/24643819/arsenal-jakub-kiwior-ac-milan-transfer/
60,"MAN UTD NEWS Fernandes 'lined up' for shock EXIT, Ratcliffe 'makes Ten Hag decision'","Fernandes 'lined up' for shock EXIT, Ratcliffe 'makes Ten Hag decision'",https://www.thesun.co.uk/sport/24408842/man-utd-news-live-fernandes-transfer-ratcliffe-ten-hag/
61,"ARSENAL NEWS Arteta to escape FA punishment amid VAR controversy, Jesus return EXCLUSIVE","Arteta to escape FA punishment amid VAR controversy, Jesus return EXCLUSIVE",https://www.thesun.co.uk/sport/24268915/arsenal-news-live-arteta-var-reaction-newcastle-odegaard-injury/
62,HOT WHEELS Win a McLaren or £100k cash alternative from just 62p with our discount code,Win a McLaren or £100k cash alternative from just 62p with our discount code,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
63,CITY SLICKER Dream Team gaffers on alert as electric Jeremy Doku goes big vs Bournemouth,Dream Team gaffers on alert as electric Jeremy Doku goes big vs Bournemouth,https://www.thesun.co.uk/sport/football/dream-team/24643598/manchester-city-jeremy-doku-bournemouth-fantasy-football-points/
64,UNITED FRONT Bruno Fernandes remains excellent Dream Team option despite Man United malaise,Bruno Fernandes remains excellent Dream Team option despite Man United malaise,https://www.thesun.co.uk/sport/football/dream-team/24645625/bruno-fernandes-manchester-united-malaise-fantasy-football-goal/
65,TAKING THE MYK Dream Team's most in-form defender currently features in just 0.1% of teams,Dream Team's most in-form defender currently features in just 0.1% of teams,https://www.thesun.co.uk/sport/football/dream-team/24647831/vitaliy-mykolenko-everton-fantasy-football-premier-league-points/
